fromId,toId
10001,110001
10001,210001
10001,310001
10001,410001
10001,510001
10030,110030
10030,310030
10030,410030
10117,110117
10117,210117
10117,310117
10117,410117
10117,510117
10146,110146
10146,410146
10204,110204
10262,110262
10262,310262
10349,210349
10349,310349
10349,510349
10378,110378
10378,210378
10378,310378
10378,410378
10407,210407
10407,310407
10407,410407
10407,510407
10436,310436
10494,310494
10523,510523
10552,110552
10552,210552
10552,310552
10552,410552
10552,510552
10610,110610
10610,210610
10610,410610
10668,310668
10784,110784
10784,210784
10784,310784
10784,510784
10813,510813
10842,110842
10842,310842
10842,410842
10871,210871
10871,310871
10871,410871
10871,510871
10900,210900
10900,310900
10900,510900
10929,210929
10929,510929
10958,110958
10958,210958
10958,310958
10958,410958
10987,110987
10987,210987
10987,310987
10987,410987
10987,510987
11016,111016
11016,211016
11016,311016
11016,411016
11016,511016
11045,311045
11045,511045
11074,411074
11103,311103
11103,411103
11248,111248
11248,311248
11248,411248
11248,511248
11277,111277
11277,511277
11306,111306
11306,311306
11335,511335
11364,111364
11451,511451
11480,111480
11480,311480
11538,111538
11538,511538
11596,411596
11683,211683
11683,511683
11770,311770
11770,411770
11770,511770
11857,211857
11857,511857
11886,111886
11915,511915
11944,111944
11944,211944
11944,311944
11944,411944
11944,511944
11973,111973
12031,112031
12031,312031
12031,512031
12060,512060
12089,312089
12147,112147
12205,112205
12263,112263
12263,312263
12263,412263
12292,312292
12379,512379
12408,112408
12408,312408
12495,512495
12611,312611
12611,412611
12669,312669
12785,412785
12872,212872
12872,312872
12872,512872
12988,312988
12988,412988
12988,512988
13046,513046
13133,513133
13162,113162
13162,313162
13162,413162
13220,113220
13220,213220
13220,313220
13220,413220
13249,113249
13249,213249
13249,313249
13249,413249
13249,513249
13365,513365
13394,313394
13394,513394
13423,513423
13481,213481
13481,313481
13481,513481
13510,513510
13568,313568
13597,313597
13597,513597
13655,313655
13655,513655
13800,113800
13800,413800
13800,513800
13916,113916
13916,213916
13916,313916
13916,413916
13916,513916
13945,113945
13945,213945
13945,313945
13945,413945
13945,513945
14003,514003
14090,114090
14090,214090
14090,314090
14090,414090
14090,514090
14119,114119
14119,214119
14119,314119
14119,514119
14209,414209
14270,114270
14270,214270
14329,214329
14502,114502
14502,214502
14502,314502
14502,414502
14563,114563
14563,214563
14563,314563
14563,414563
14866,114866
14866,414866
14927,414927
14987,114987
14987,214987
14987,314987
14987,414987
15048,115048
15048,215048
15048,315048
15048,415048
15109,315109
15109,415109
15170,215170
15170,315170
15170,415170
15231,115231
15231,215231
15290,215290
15349,315349
15349,415349
15471,115471
15471,415471
15530,115530
15530,215530
15530,415530
15589,115589
15589,415589
15955,215955
16249,216249
16427,116427
16427,216427
16670,116670
16670,216670
16670,316670
16670,416670
16731,416731
16910,116910
16910,216910
17031,317031
17031,417031
17091,317091
17091,417091
17152,117152
17152,217152
17152,317152
17152,417152
17213,417213
17512,217512
17512,317512
17512,417512
17573,217573
17573,317573
17573,417573
17634,317634
17634,417634
17695,217695
17695,417695
17870,217870
17992,417992
18109,118109
18109,218109
18170,218170
18231,118231
18231,218231
18292,218292
18351,118351
18351,218351
18412,218412
18473,118473
18473,318473
18473,418473
18590,218590
18708,118708
18708,318708
18708,418708
18769,118769
18769,418769
18830,118830
18830,218830
19069,119069
19069,319069
19069,419069
19127,119127
19127,319127
19127,419127
19304,119304
19304,219304
19304,319304
19304,419304
19364,219364
19364,319364
19364,419364
19424,219424
19424,419424
19484,219484
19545,119545
19545,319545
19545,419545
19605,319605
19605,419605
19787,119787
19787,219787
19787,319787
19787,419787
19848,319848
19848,419848
20030,220030
20148,120148
20148,420148
20207,420207
20266,120266
20266,220266
20266,320266
20266,420266
20327,120327
20327,220327
20327,420327
20501,420501
20560,320560
20560,420560
20619,120619
20619,220619
20619,320619
20619,420619
20680,220680
20680,320680
20680,420680
20741,420741
20922,420922
21042,221042
21042,521042
21102,321102
21220,221220
21278,221278
21336,121336
21336,321336
21336,421336
21396,421396
21457,121457
21457,221457
21457,421457
21515,221515
21515,421515
21574,121574
21574,221574
21574,321574
21574,421574
21634,121634
21634,221634
21634,321634
21634,421634
21694,121694
21754,121754
21754,221754
21754,321754
21754,421754
21754,521754
21814,321814
21814,421814
21875,321875
21875,421875
21936,421936
21994,421994
22053,122053
22053,222053
22413,222413
22648,122648
22648,422648
22709,122709
22709,422709
22892,122892
22892,222892
22892,322892
22892,422892
22953,222953
22953,322953
22953,422953
23014,123014
23075,323075
23075,423075
23377,223377
23377,423377
23495,223495
23495,323495
23495,423495
23554,223554
23554,323554
23554,423554
23613,123613
23613,223613
23674,223674
23851,423851
23971,123971
23971,423971
24029,324029
24029,424029
24209,124209
24209,424209
24330,124330
24330,424330
24391,424391
24452,224452
24511,224511
24511,524511
24811,124811
24811,324811
24811,424811
24868,424868
24926,124926
24926,224926
24926,324926
24926,424926
24926,524926
24984,124984
24984,224984
24984,424984
25042,125042
25101,225101
25101,525101
10003,210003
10003,310003
10003,410003
10003,510003
10032,110032
10032,310032
10032,410032
10119,110119
10119,210119
10119,310119
10119,410119
10119,510119
10148,410148
10235,510235
10264,110264
10264,310264
10264,510264
10380,110380
10380,310380
10409,110409
10409,210409
10409,310409
10409,410409
10409,510409
10467,210467
10467,510467
10496,310496
10496,510496
10525,310525
10525,510525
10554,110554
10554,310554
10554,510554
10612,110612
10612,210612
10612,310612
10612,410612
10641,210641
10641,510641
10670,310670
10670,510670
10699,310699
10699,510699
10728,310728
10728,510728
10786,110786
10786,210786
10786,310786
10786,510786
10815,210815
10815,510815
10844,110844
10844,310844
10844,410844
10873,110873
10873,210873
10873,310873
10873,410873
10873,510873
10902,210902
10902,310902
10902,510902
10931,210931
10931,310931
10931,510931
10960,110960
10960,210960
10960,310960
10960,410960
10960,510960
10989,110989
10989,210989
11018,111018
11018,211018
11018,311018
11018,411018
11018,511018
11047,311047
11047,511047
11076,311076
11076,411076
11076,511076
11105,111105
11105,211105
11105,311105
11105,411105
11105,511105
11163,211163
11163,311163
11163,511163
11221,511221
11250,111250
11250,311250
11250,411250
11250,511250
11279,111279
11308,111308
11308,311308
11308,411308
11337,211337
11337,311337
11337,511337
11366,111366
11482,111482
11482,311482
11482,411482
11482,511482
11511,211511
11511,311511
11511,411511
11511,511511
11540,111540
11540,511540
11569,511569
11598,311598
11598,411598
11598,511598
11627,411627
11685,211685
11685,511685
11714,311714
11772,111772
11772,311772
11772,411772
11772,511772
11830,311830
11830,411830
11830,511830
11859,211859
11859,511859
11888,111888
11946,111946
11946,211946
11946,311946
11946,411946
11946,511946
11975,111975
11975,211975
11975,511975
12033,112033
12033,212033
12033,312033
12033,412033
12033,512033
12149,112149
12149,312149
12149,512149
12178,212178
12178,512178
12207,112207
12265,112265
12265,312265
12265,412265
12294,312294
12294,412294
12294,512294
12323,212323
12323,312323
12323,512323
12352,212352
12352,312352
12352,412352
12352,512352
12381,212381
12381,312381
12381,512381
12410,112410
12526,512526
12613,312613
12613,412613
12671,312671
12787,412787
12845,112845
12845,312845
12845,412845
12961,312961
12961,412961
12961,512961
12990,112990
12990,212990
12990,312990
12990,412990
12990,512990
13048,513048
13106,513106
13135,513135
13164,113164
13164,313164
13164,413164
13193,313193
13222,113222
13222,213222
13222,313222
13222,413222
13222,513222
13251,113251
13251,213251
13251,513251
13396,313396
13396,513396
13425,213425
13425,313425
13425,513425
13483,513483
13512,113512
13570,513570
13599,213599
13599,313599
13599,413599
13599,513599
13628,313628
13628,513628
13802,113802
13831,513831
13860,513860
13918,113918
13918,213918
13918,313918
13918,413918
13918,513918
13947,113947
13947,213947
13947,313947
13947,413947
13947,513947
14005,514005
14034,314034
14092,114092
14121,514121
14210,414210
14271,214271
14330,214330
14503,114503
14503,214503
14503,314503
14503,414503
14564,214564
14564,314564
14564,414564
14867,414867
14928,214928
14928,414928
14988,114988
14988,214988
14988,314988
14988,414988
15049,115049
15049,215049
15049,315049
15049,415049
15110,415110
15171,315171
15232,115232
15232,215232
15291,215291
15350,315350
15411,215411
15411,515411
15472,115472
15472,215472
15472,415472
15472,515472
15531,115531
15531,215531
15531,515531
15590,115590
15590,415590
15956,215956
16193,216193
16250,216250
16368,316368
16428,116428
16428,216428
16489,216489
16671,116671
16671,216671
16671,416671
16732,416732
16792,116792
16911,116911
17032,317032
17032,417032
17092,317092
17092,417092
17153,117153
17153,217153
17153,317153
17153,417153
17214,417214
17513,217513
17513,317513
17513,417513
17574,217574
17574,417574
17635,317635
17635,417635
17696,217696
17871,217871
18110,118110
18110,218110
18171,218171
18232,118232
18232,218232
18293,218293
18352,118352
18352,218352
18413,218413
18474,118474
18474,318474
18474,418474
18591,218591
18709,118709
18709,318709
18709,418709
18770,118770
18770,418770
18831,118831
18831,218831
19070,119070
19070,319070
19070,419070
19128,119128
19128,319128
19128,419128
19305,119305
19305,219305
19305,319305
19305,419305
19365,219365
19365,319365
19365,419365
19425,219425
19425,419425
19485,219485
19485,519485
19546,119546
19546,319546
19546,419546
19606,319606
19606,419606
19788,119788
19788,219788
19788,319788
19788,419788
19849,319849
19849,419849
20031,220031
20090,220090
20149,120149
20149,420149
20208,420208
20267,120267
20267,220267
20267,320267
20267,420267
20328,120328
20328,220328
20328,420328
20502,420502
20561,320561
20561,420561
20620,120620
20620,220620
20620,320620
20620,420620
20681,220681
20681,320681
20681,420681
20742,420742
20863,420863
20923,320923
20923,420923
20983,220983
20983,520983
21043,221043
21043,521043
21162,221162
21162,321162
21221,121221
21221,221221
21279,221279
21337,121337
21337,321337
21337,421337
21397,321397
21397,421397
21458,121458
21458,221458
21458,421458
21516,221516
21516,421516
21575,121575
21575,221575
21575,321575
21575,421575
21635,121635
21635,221635
21635,321635
21635,421635
21695,121695
21755,121755
21755,221755
21755,321755
21815,321815
21815,421815
21876,321876
21876,421876
21937,421937
22054,122054
22054,222054
22414,222414
22649,122649
22649,422649
22710,422710
22893,122893
22893,222893
22893,322893
22893,422893
22954,222954
22954,322954
22954,422954
23015,123015
23076,323076
23136,123136
23136,423136
23496,223496
23496,323496
23496,423496
23555,223555
23555,323555
23555,423555
23614,123614
23614,223614
23614,323614
23614,423614
23675,223675
23734,223734
23852,423852
23972,123972
23972,423972
24210,124210
24210,424210
24331,124331
24331,424331
24392,324392
24392,424392
24453,224453
24512,224512
24812,324812
24812,424812
24869,424869
24927,124927
24927,224927
24927,324927
24927,424927
24985,224985
24985,324985
24985,424985
25043,125043
10004,210004
10004,310004
10004,410004
10004,510004
10033,110033
10033,310033
10033,410033
10091,310091
10091,510091
10120,210120
10120,310120
10120,410120
10120,510120
10149,110149
10149,410149
10207,110207
10265,110265
10265,310265
10265,410265
10265,510265
10294,210294
10294,310294
10294,510294
10323,110323
10323,210323
10323,310323
10323,410323
10323,510323
10352,110352
10352,210352
10352,310352
10352,410352
10352,510352
10381,110381
10381,210381
10381,310381
10381,410381
10410,110410
10410,210410
10410,310410
10410,410410
10410,510410
10439,110439
10439,310439
10468,310468
10468,510468
10526,310526
10555,110555
10555,210555
10555,310555
10555,510555
10584,110584
10584,210584
10584,310584
10584,510584
10613,110613
10613,210613
10613,410613
10642,210642
10642,510642
10671,310671
10700,310700
10700,410700
10700,510700
10729,310729
10787,110787
10787,210787
10787,310787
10787,410787
10787,510787
10816,210816
10816,310816
10816,410816
10816,510816
10845,110845
10845,310845
10845,410845
10845,510845
10874,110874
10874,210874
10874,310874
10874,410874
10874,510874
10903,210903
10903,310903
10903,510903
10932,510932
10961,110961
10961,210961
10961,310961
10961,410961
10961,510961
10990,110990
10990,210990
10990,310990
10990,410990
10990,510990
11019,111019
11019,211019
11019,311019
11019,411019
11019,511019
11048,211048
11048,311048
11048,411048
11048,511048
11077,411077
11106,211106
11106,311106
11106,411106
11106,511106
11193,311193
11222,211222
11222,511222
11251,111251
11251,211251
11251,311251
11251,411251
11251,511251
11280,111280
11280,211280
11280,311280
11280,411280
11280,511280
11309,111309
11309,311309
11367,111367
11367,311367
11425,211425
11425,311425
11425,411425
11425,511425
11483,111483
11483,211483
11483,311483
11483,411483
11512,111512
11512,311512
11512,411512
11512,511512
11541,111541
11541,511541
11599,311599
11599,411599
11599,511599
11657,311657
11686,211686
11686,511686
11773,111773
11773,211773
11773,311773
11773,411773
11773,511773
11802,511802
11831,311831
11831,411831
11860,211860
11860,511860
11889,111889
11918,511918
11947,111947
11947,211947
11947,311947
11947,411947
11947,511947
11976,111976
11976,211976
11976,311976
11976,511976
12005,212005
12005,312005
12005,512005
12034,112034
12034,212034
12034,312034
12034,412034
12034,512034
12063,312063
12092,212092
12092,312092
12092,512092
12121,212121
12121,512121
12150,112150
12179,212179
12179,312179
12179,512179
12208,112208
12237,512237
12266,112266
12266,212266
12266,412266
12295,312295
12295,412295
12295,512295
12324,312324
12324,512324
12353,312353
12353,512353
12411,112411
12411,312411
12469,312469
12614,312614
12614,412614
12672,312672
12701,312701
12730,512730
12788,112788
12788,212788
12788,312788
12788,412788
12788,512788
12817,212817
12817,312817
12817,412817
12817,512817
12846,312846
12875,212875
12875,312875
12875,512875
12904,312904
12933,312933
12962,512962
12991,312991
12991,412991
12991,512991
13020,513020
13049,513049
13107,313107
13107,513107
13136,113136
13136,213136
13136,313136
13136,513136
13165,113165
13165,313165
13194,313194
13223,113223
13223,213223
13223,313223
13223,413223
13252,113252
13252,213252
13252,313252
13339,313339
13397,513397
13426,513426
13484,313484
13484,513484
13513,113513
13513,313513
13513,513513
13542,313542
13542,513542
13571,513571
13600,213600
13600,313600
13600,513600
13629,313629
13629,513629
13658,213658
13658,313658
13658,413658
13658,513658
13687,113687
13687,313687
13774,213774
13774,513774
13803,113803
13803,313803
13803,413803
13832,513832
13861,313861
13861,513861
13919,113919
13919,213919
13919,313919
13919,413919
13948,113948
13948,213948
13948,313948
13948,513948
13977,313977
14006,214006
14006,514006
14093,114093
14093,214093
14093,314093
14093,414093
14093,514093
14122,114122
14122,314122
14122,514122
14179,414179
14240,214240
14240,314240
14240,414240
14299,114299
14299,214299
14299,314299
14299,414299
14358,214358
14358,314358
14358,514358
14533,114533
14533,214533
14533,314533
14533,414533
14594,114594
14594,214594
14594,314594
14594,414594
14655,314655
14655,414655
14716,314716
14716,414716
14836,114836
14836,214836
14836,314836
14897,114897
14897,414897
14957,114957
14957,314957
14957,414957
15018,115018
15018,215018
15018,315018
15018,415018
15079,115079
15079,215079
15079,315079
15079,415079
15140,315140
15140,415140
15201,215201
15201,315201
15201,415201
15201,515201
15262,115262
15262,215262
15321,115321
15321,215321
15380,215380
15380,315380
15380,415380
15441,215441
15500,115500
15500,215500
15500,315500
