fromId,toId
1001,10001
1002,10030
1002,10059
1003,10088
1003,10117
1004,10146
1004,10175
1005,10204
1005,10233
1006,10262
1006,10291
1007,10320
1007,10349
1008,10378
1008,10407
1009,10436
1009,10465
1010,10494
1010,10523
1011,10552
1011,10581
1012,10610
1012,10639
1013,10668
1013,10697
1014,10726
1014,10755
1015,10784
1015,10813
1016,10842
1016,10871
1017,10900
1017,10929
1018,10958
1018,10987
1019,11016
1019,11045
1020,11074
1020,11103
1021,11132
1021,11161
1022,11190
1022,11219
1023,11248
1023,11277
1024,11306
1024,11335
1025,11364
1025,11393
1026,11422
1026,11451
1027,11480
1027,11509
1028,11538
1028,11567
1029,11596
1029,11625
1030,11654
1030,11683
1031,11712
1031,11741
1032,11770
1032,11799
1033,11828
1033,11857
1034,11886
1034,11915
1035,11944
1036,11973
1036,12002
1037,12031
1037,12060
1038,12089
1038,12118
1039,12147
1039,12176
1040,12205
1040,12234
1041,12263
1042,12292
1042,12321
1043,12350
1043,12379
1044,12408
1044,12437
1045,12466
1045,12495
1046,12524
1047,12553
1047,12582
1048,12611
1048,12640
1049,12669
1049,12698
1050,12727
1050,12756
1051,12785
1051,12814
1052,12843
1052,12872
1053,12901
1053,12930
1054,12959
1054,12988
1055,13017
1055,13046
1056,13075
1056,13104
1057,13133
1058,13162
1058,13191
1059,13220
1059,13249
1060,13278
1060,13307
1061,13336
1061,13365
1062,13394
1062,13423
1063,13452
1063,13481
1064,13510
1064,13539
1065,13568
1065,13597
1066,13626
1066,13655
1067,13684
1067,13713
1068,13742
1068,13771
1069,13800
1069,13829
1070,13858
1070,13887
1071,13916
1071,13945
1072,13974
1072,14003
1073,14032
1073,14061
1074,14090
1074,14119
1075,14148
1075,14209
1076,14270
1076,14329
1077,14388
1077,14445
1078,14502
1078,14563
1079,14624
1079,14685
1080,14746
1080,14805
1081,14866
1081,14927
1082,14987
1082,15048
1083,15109
1083,15170
1084,15231
1084,15290
1085,15349
1085,15410
1086,15471
1086,15530
1087,15589
1087,15650
1088,15711
1088,15772
1089,15833
1089,15894
1090,15955
1090,16014
1091,16073
1091,16133
1092,16249
1093,16307
1093,16367
1094,16427
1094,16488
1095,16549
1095,16609
1096,16670
1096,16731
1098,16910
1098,16971
1099,17031
1099,17091
1100,17152
1100,17213
1101,17274
1101,17333
1103,17512
1103,17573
1104,17634
1104,17695
1105,17756
1105,17813
1106,17870
1106,17931
1107,17992
1107,18050
1108,18109
1108,18170
1109,18231
1109,18292
1110,18351
1110,18412
1111,18473
1111,18531
1112,18590
1112,18649
1113,18708
1113,18769
1114,18830
1114,18890
1115,18949
1115,19009
1116,19069
1116,19127
1117,19187
1117,19247
1118,19304
1118,19364
1119,19424
1119,19484
1120,19545
1120,19605
1121,19665
1121,19726
1122,19787
1122,19848
1123,19909
1123,19970
1124,20030
1124,20089
1125,20148
1125,20207
1126,20266
1126,20327
1128,20501
1128,20560
1129,20619
1129,20680
1130,20741
1130,20801
1131,20862
1131,20922
1132,21042
1133,21102
1133,21161
1134,21220
1134,21278
1135,21336
1135,21396
1136,21457
1136,21515
1137,21574
1137,21634
1138,21694
1138,21754
1139,21814
1139,21875
1140,21936
1140,21994
1141,22053
1141,22113
1142,22173
1142,22232
1143,22291
1143,22352
1144,22413
1144,22472
1145,22531
1145,22590
1146,22648
1146,22709
1147,22770
1147,22831
1148,22892
1148,22953
1149,23014
1149,23075
1151,23256
1151,23317
1152,23377
1153,23495
1153,23554
1154,23613
1154,23674
1155,23733
1155,23792
1156,23851
1157,23971
1157,24029
1158,24087
1158,24148
1159,24209
1159,24270
1160,24330
1160,24391
1161,24452
1161,24511
1162,24570
1162,24629
1163,24689
1163,24750
1164,24811
1164,24868
1165,24926
1165,24984
1166,25042
1166,25101
1001,10003
1002,10032
1002,10061
1003,10090
1003,10119
1004,10148
1004,10177
1005,10206
1005,10235
1006,10264
1006,10293
1007,10322
1007,10351
1008,10380
1008,10409
1009,10438
1009,10467
1010,10496
1010,10525
1011,10554
1011,10583
1012,10612
1012,10641
1013,10670
1013,10699
1014,10728
1014,10757
1015,10786
1015,10815
1016,10844
1016,10873
1017,10902
1017,10931
1018,10960
1018,10989
1019,11018
1019,11047
1020,11076
1020,11105
1021,11134
1021,11163
1022,11192
1022,11221
1023,11250
1023,11279
1024,11308
1024,11337
1025,11366
1025,11395
1026,11424
1026,11453
1027,11482
1027,11511
1028,11540
1028,11569
1029,11598
1029,11627
1030,11656
1030,11685
1031,11714
1031,11743
1032,11772
1032,11801
1033,11830
1033,11859
1034,11888
1034,11917
1035,11946
1036,11975
1036,12004
1037,12033
1037,12062
1038,12091
1038,12120
1039,12149
1039,12178
1040,12207
1040,12236
1041,12265
1042,12294
1042,12323
1043,12352
1043,12381
1044,12410
1044,12439
1045,12468
1045,12497
1046,12526
1047,12555
1047,12584
1048,12613
1048,12642
1049,12671
1049,12700
1050,12729
1050,12758
1051,12787
1051,12816
1052,12845
1052,12874
1053,12903
1053,12932
1054,12961
1054,12990
1055,13019
1055,13048
1056,13077
1056,13106
1057,13135
1058,13164
1058,13193
1059,13222
1059,13251
1060,13280
1060,13309
1061,13338
1061,13367
1062,13396
1062,13425
1063,13454
1063,13483
1064,13512
1064,13541
1065,13570
1065,13599
1066,13628
1066,13657
1067,13686
1067,13715
1068,13744
1068,13773
1069,13802
1069,13831
1070,13860
1070,13889
1071,13918
1071,13947
1072,13976
1072,14005
1073,14034
1073,14063
1074,14092
1074,14121
1075,14149
1075,14210
1076,14271
1076,14330
1077,14389
1077,14446
1078,14503
1078,14564
1079,14625
1079,14686
1080,14747
1080,14806
1081,14867
1081,14928
1082,14988
1082,15049
1083,15110
1083,15171
1084,15232
1084,15291
1085,15350
1085,15411
1086,15472
1086,15531
1087,15590
1087,15651
1088,15712
1088,15773
1089,15834
1089,15895
1090,15956
1090,16015
1091,16074
1091,16134
1092,16193
1092,16250
1093,16308
1093,16368
1094,16428
1094,16489
1095,16550
1095,16610
1096,16671
1096,16732
1097,16792
1097,16851
1098,16911
1098,16972
1099,17032
1099,17092
1100,17153
1100,17214
1101,17275
1101,17334
1102,17392
1102,17452
1103,17513
1103,17574
1104,17635
1104,17696
1105,17757
1105,17814
1106,17871
1106,17932
1108,18110
1108,18171
1109,18232
1109,18293
1110,18352
1110,18413
1111,18474
1111,18532
1112,18591
1112,18650
1113,18709
1113,18770
1114,18831
1114,18891
1115,18950
1115,19010
1116,19070
1116,19128
1117,19188
1117,19248
1118,19305
1118,19365
1119,19425
1119,19485
1120,19546
1120,19606
1121,19666
1121,19727
1122,19788
1122,19849
1123,19910
1123,19971
1124,20031
1124,20090
1125,20149
1125,20208
1126,20267
1126,20328
1127,20388
1127,20445
1128,20502
1128,20561
1129,20620
1129,20681
1130,20742
1130,20802
1131,20863
1131,20923
1132,20983
1132,21043
1133,21103
1133,21162
1134,21221
1134,21279
1135,21337
1135,21397
1136,21458
1136,21516
1137,21575
1137,21635
1138,21695
1138,21755
1139,21815
1139,21876
1140,21937
1140,21995
1141,22054
1141,22114
1142,22174
1142,22233
1143,22292
1143,22353
1144,22414
1144,22473
1145,22532
1145,22591
1146,22649
1146,22710
1147,22771
1147,22832
1148,22893
1148,22954
1149,23015
1149,23076
1150,23136
1150,23196
1151,23257
1151,23318
1152,23378
1152,23438
1153,23496
1153,23555
1154,23614
1154,23675
1155,23734
1155,23793
1156,23852
1156,23912
1157,23972
1157,24030
1158,24088
1158,24149
1159,24210
1159,24271
1160,24331
1160,24392
1161,24453
1161,24512
1162,24571
1162,24630
1163,24690
1163,24751
1164,24812
1164,24869
1165,24927
1165,24985
1166,25043
1166,25102
1001,10004
1002,10033
1002,10062
1003,10091
1003,10120
1004,10149
1004,10178
1005,10207
1005,10236
1006,10265
1006,10294
1007,10323
1007,10352
1008,10381
1008,10410
1009,10439
1009,10468
1010,10497
1010,10526
1011,10555
1011,10584
1012,10613
1012,10642
1013,10671
1013,10700
1014,10729
1014,10758
1015,10787
1015,10816
1016,10845
1016,10874
1017,10903
1017,10932
1018,10961
1018,10990
1019,11019
1019,11048
1020,11077
1020,11106
1021,11135
1021,11164
1022,11193
1022,11222
1023,11251
1023,11280
1024,11309
1024,11338
1025,11367
1025,11396
1026,11425
1026,11454
1027,11483
1027,11512
1028,11541
1028,11570
1029,11599
1029,11628
1030,11657
1030,11686
1031,11715
1031,11744
1032,11773
1032,11802
1033,11831
1033,11860
1034,11889
1034,11918
1035,11947
1036,11976
1036,12005
1037,12034
1037,12063
1038,12092
1038,12121
1039,12150
1039,12179
1040,12208
1040,12237
1041,12266
1042,12295
1042,12324
1043,12353
1043,12382
1044,12411
1044,12440
1045,12469
1045,12498
1046,12527
1047,12556
1047,12585
1048,12614
1048,12643
1049,12672
1049,12701
1050,12730
1050,12759
1051,12788
1051,12817
1052,12846
1052,12875
1053,12904
1053,12933
1054,12962
1054,12991
1055,13020
1055,13049
1056,13078
1056,13107
1057,13136
1058,13165
1058,13194
1059,13223
1059,13252
1060,13281
1060,13310
1061,13339
1061,13368
1062,13397
1062,13426
1063,13455
1063,13484
1064,13513
1064,13542
1065,13571
1065,13600
1066,13629
1066,13658
1067,13687
1067,13716
1068,13745
1068,13774
1069,13803
1069,13832
1070,13861
1070,13890
1071,13919
1071,13948
1072,13977
1072,14006
1073,14035
1073,14064
1074,14093
1074,14122
1075,14179
1075,14240
1076,14299
1076,14358
1077,14415
1077,14472
1078,14533
1078,14594
1079,14655
1079,14716
1080,14775
1080,14836
1081,14897
1081,14957
1082,15018
1082,15079
1083,15140
1083,15201
1084,15262
1084,15321
1085,15380
1085,15441
1086,15500
1086,15559
1087,15620
1087,15681
1088,15742
1088,15803
1089,15864
1089,15925
1090,15984
1090,16044
1091,16103
1091,16163
1093,16337
1093,16397
1094,16458
1094,16519
1095,16580
1095,16640
1096,16701
1096,16762
1097,16821
1097,16880
1098,16941
1098,17001
1099,17061
1099,17122
1100,17183
1100,17244
1101,17303
1101,17362
1102,17422
1102,17482
1103,17543
1103,17604
1104,17665
1104,17726
1105,17784
1105,17841
1106,17901
1106,17962
1107,18020
1107,18079
1108,18140
1108,18201
1109,18262
1109,18322
1110,18382
1110,18443
1111,18502
1111,18560
1112,18619
1112,18678
1113,18739
1113,18800
1114,18860
1114,18919
1115,18979
1115,19039
1116,19097
1116,19157
1117,19217
1118,19334
1118,19394
1119,19454
1119,19515
1120,19575
1120,19635
1121,19696
1121,19757
1122,19818
1122,19879
1123,19940
1123,20000
1124,20060
1124,20119
1125,20177
1125,20236
1126,20297
1126,20358
1127,20416
1127,20473
1128,20530
1128,20589
1129,20650
1129,20711
1130,20772
1130,20832
1131,20892
1131,20953
1132,21012
1132,21072
1133,21131
1133,21190
1134,21249
1134,21307
1135,21366
1135,21427
1136,21485
1136,21544
1137,21604
1137,21664
1138,21724
1139,21845
1139,21906
1140,21966
1140,22024
1141,22083
1141,22143
1142,22202
1142,22261
1143,22322
1143,22383
1144,22442
1144,22501
1145,22560
1145,22619
1146,22679
1146,22740
1147,22801
1147,22862
1148,22923
1148,22984
1149,23045
1149,23106
1150,23166
1150,23226
1151,23287
1151,23347
1152,23408
1153,23524
1153,23583
1154,23644
1154,23704
1155,23763
1155,23822
1156,23882
1157,23999
1157,24057
1158,24118
1158,24179
1159,24240
1159,24300
1160,24361
1160,24422
1161,24482
1161,24541
1162,24599
1162,24659
1163,24720
1163,24781
1164,24839
1164,24897
1165,24956
1165,25014
1166,25071
1166,25130
1001,10005
1002,10034
1002,10063
1003,10092
1003,10121
1004,10150
1004,10179
1005,10208
1005,10237
1006,10266
1006,10295
1007,10324
1007,10353
1008,10382
1008,10411
1009,10440
1009,10469
1010,10498
1010,10527
1011,10556
1011,10585
1012,10614
1012,10643
1013,10672
1013,10701
1014,10730
1014,10759
1015,10788
1015,10817
1016,10846
1016,10875
1017,10904
1017,10933
1018,10962
1018,10991
1019,11020
1019,11049
1020,11078
1020,11107
1021,11136
1021,11165
1022,11194
1022,11223
1023,11252
1023,11281
1024,11310
1024,11339
1025,11368
1025,11397
1026,11426
1026,11455
1027,11484
1027,11513
1028,11542
1028,11571
1029,11600
1029,11629
1030,11658
1030,11687
1031,11716
1031,11745
1032,11774
1032,11803
1033,11832
1033,11861
1034,11890
1034,11919
1035,11948
1036,11977
1036,12006
1037,12035
1037,12064
1038,12093
1038,12122
1039,12151
1039,12180
1040,12209
1040,12238
1041,12267
1042,12296
1042,12325
1043,12354
1043,12383
1044,12412
1044,12441
1045,12470
1045,12499
1046,12528
1047,12557
1047,12586
1048,12615
1048,12644
1049,12673
1049,12702
1050,12731
1050,12760
1051,12789
1051,12818
1052,12847
1052,12876
1053,12905
1053,12934
1054,12963
1054,12992
1055,13021
1055,13050
1056,13079
1056,13108
1057,13137
1058,13166
1058,13195
1059,13224
1059,13253
1060,13282
1060,13311
1061,13340
1061,13369
1062,13398
1062,13427
1063,13456
1063,13485
1064,13514
1064,13543
1065,13572
1065,13601
1066,13630
1066,13659
1067,13688
1067,13717
1068,13746
1068,13775
1069,13804
1069,13833
1070,13862
1070,13891
1071,13920
1071,13949
1072,13978
1072,14007
1073,14036
1073,14065
1074,14094
1074,14123
1075,14182
1075,14243
1076,14302
1076,14361
1077,14418
1077,14475
1078,14536
1078,14597
1079,14658
1079,14719
1080,14778
1080,14839
1081,14900
1081,14960
1082,15021
1082,15082
1083,15143
1083,15204
1084,15265
1084,15324
1085,15383
1085,15444
1086,15503
1086,15562
1087,15623
1087,15684
1088,15745
1088,15806
1089,15867
1089,15928
1090,15987
1090,16047
1091,16106
1091,16166
1092,16223
1092,16280
1093,16340
1093,16400
1094,16461
1094,16522
1095,16583
1095,16643
1096,16704
1096,16765
1097,16824
1097,16883
1098,16944
1098,17004
1099,17064
1099,17125
1100,17186
1100,17247
1101,17306
1101,17365
1102,17425
1102,17485
1103,17546
1103,17607
1104,17668
1104,17729
1105,17787
1105,17844
1106,17904
1106,17965
1107,18023
1107,18082
1108,18143
1108,18204
1109,18265
1110,18385
1110,18446
1111,18505
1111,18563
1112,18622
1112,18681
1113,18742
1113,18803
1114,18863
1114,18922
1115,18982
1115,19042
1116,19100
1116,19160
1117,19220
1118,19337
1118,19397
1119,19457
1119,19518
1120,19578
1120,19638
1121,19699
1121,19760
1122,19821
1122,19882
1123,19943
1123,20003
1124,20063
1124,20122
1125,20180
1125,20239
1126,20300
1126,20361
1127,20419
1127,20476
1128,20533
1128,20592
1129,20653
1129,20714
1130,20775
1130,20835
1131,20895
1131,20956
1132,21015
1132,21075
1133,21134
1133,21193
1134,21252
1134,21310
1135,21369
1135,21430
1136,21488
1136,21547
1137,21607
1137,21667
1138,21727
1138,21787
1139,21848
1139,21909
1140,21969
1140,22027
1141,22086
1141,22146
1142,22205
1142,22264
1143,22325
1143,22386
1144,22445
1144,22504
1145,22563
1145,22622
1146,22682
1146,22743
1147,22804
1147,22865
1148,22926
1148,22987
1149,23048
1149,23109
1150,23169
1150,23229
1151,23290
1151,23350
1152,23411
1153,23527
1153,23586
1154,23647
1154,23707
1155,23766
1155,23825
1156,23885
1156,23944
1157,24002
1157,24060
1158,24121
1158,24182
1159,24243
1159,24303
1160,24364
1160,24425
1161,24485
1161,24544
1162,24602
1162,24662
1163,24723
1163,24784
1164,24842
1164,24900
1165,24959
1165,25017
1166,25074
1166,25133
1001,10006
1002,10035
1002,10064
1003,10093
1003,10122
