ID,channelType,lattitude,cm0,cm1,refx,refy,absdist,brainRegTags
10001,102,1,0,1,0,0,1,FrontalPolar|LEFT
10030,102,1,0,1,0,0,1,FrontalPolar|LEFT
10059,102,1,0,1,0,0,1,FrontalPolar|LEFT
10088,102,1,0,1,0,0,1,FrontalPolar|LEFT
10117,102,1,0,1,0,0,1,FrontalPolar|LEFT
10146,102,1,0,1,0,0,1,FrontalPolar|LEFT
10175,102,1,0,1,0,0,1,FrontalPolar|LEFT
10204,102,1,0,1,0,0,1,FrontalPolar|LEFT
10233,102,1,0,1,0,0,1,FrontalPolar|LEFT
10262,102,1,0,1,0,0,1,FrontalPolar|LEFT
10291,102,1,0,1,0,0,1,FrontalPolar|LEFT
10320,102,1,0,1,0,0,1,FrontalPolar|LEFT
10349,102,1,0,1,0,0,1,FrontalPolar|LEFT
10378,102,1,0,1,0,0,1,FrontalPolar|LEFT
10407,102,1,0,1,0,0,1,FrontalPolar|LEFT
10436,102,1,0,1,0,0,1,FrontalPolar|LEFT
10465,102,1,0,1,0,0,1,FrontalPolar|LEFT
10494,102,1,0,1,0,0,1,FrontalPolar|LEFT
10523,102,1,0,1,0,0,1,FrontalPolar|LEFT
10552,102,1,0,1,0,0,1,FrontalPolar|LEFT
10581,102,1,0,1,0,0,1,FrontalPolar|LEFT
10610,102,1,0,1,0,0,1,FrontalPolar|LEFT
10639,102,1,0,1,0,0,1,FrontalPolar|LEFT
10668,102,1,0,1,0,0,1,FrontalPolar|LEFT
10697,102,1,0,1,0,0,1,FrontalPolar|LEFT
10726,102,1,0,1,0,0,1,FrontalPolar|LEFT
10755,102,1,0,1,0,0,1,FrontalPolar|LEFT
10784,102,1,0,1,0,0,1,FrontalPolar|LEFT
10813,102,1,0,1,0,0,1,FrontalPolar|LEFT
10842,102,1,0,1,0,0,1,FrontalPolar|LEFT
10871,102,1,0,1,0,0,1,FrontalPolar|LEFT
10900,102,1,0,1,0,0,1,FrontalPolar|LEFT
10929,102,1,0,1,0,0,1,FrontalPolar|LEFT
10958,102,1,0,1,0,0,1,FrontalPolar|LEFT
10987,102,1,0,1,0,0,1,FrontalPolar|LEFT
11016,102,1,0,1,0,0,1,FrontalPolar|LEFT
11045,102,1,0,1,0,0,1,FrontalPolar|LEFT
11074,102,1,0,1,0,0,1,FrontalPolar|LEFT
11103,102,1,0,1,0,0,1,FrontalPolar|LEFT
11132,102,1,0,1,0,0,1,FrontalPolar|LEFT
11161,102,1,0,1,0,0,1,FrontalPolar|LEFT
11190,102,1,0,1,0,0,1,FrontalPolar|LEFT
11219,102,1,0,1,0,0,1,FrontalPolar|LEFT
11248,102,1,0,1,0,0,1,FrontalPolar|LEFT
11277,102,1,0,1,0,0,1,FrontalPolar|LEFT
11306,102,1,0,1,0,0,1,FrontalPolar|LEFT
11335,102,1,0,1,0,0,1,FrontalPolar|LEFT
11364,102,1,0,1,0,0,1,FrontalPolar|LEFT
11393,102,1,0,1,0,0,1,FrontalPolar|LEFT
11422,102,1,0,1,0,0,1,FrontalPolar|LEFT
11451,102,1,0,1,0,0,1,FrontalPolar|LEFT
